image_name,Line_Fit_Score
image_1.jpg,23814856.209755
image_10.jpg,71318127.59846908
image_11.jpg,4241567.581102612
image_12.jpg,92316923.54734121
image_13.jpg,16780850.123175465
image_14.jpg,48712609.51898588
image_15.jpg,133807989.16399772
image_16.jpg,3455377.7682183883
image_17.jpg,20529847.601718325
image_18.jpg,31193260.31583468
image_19.jpg,8198806.523555991
image_2.jpg,2196865872.0615873
image_20.jpg,1475156.4939411692
image_21.jpg,20762634.25834438
image_22.jpg,106257803.00838158
image_23.jpg,594685.3546671609
image_24.jpg,3518062.560935612
image_26.jpg,7864369.106489069
image_27.jpg,38054.035454153156
image_28.jpg,193114.77764523512
image_29.jpg,84225.38996778843
image_3.jpg,7133444.547097093
image_30.jpg,21238.264777874105
image_31.jpg,618038.9229863532
image_32.jpg,647920292.1278579
image_33.jpg,37258065.16711665
image_34.jpg,945801195.7189612
image_35.jpg,229090843.75274974
image_36.jpg,61643453.35697948
image_37.jpg,2116369.711443005
image_38.jpg,3406006.282375108
image_39.jpg,2258664.0255013146
image_4.jpg,451436063.67380285
image_40.jpg,102115622.71505477
image_41.jpg,18273123.19131936
image_42.jpg,35268099.2701786
image_43.jpg,50834867.56773034
image_44.jpg,1225039421.5521173
image_45.jpg,2483342.260443221
image_46.jpg,115907541.15874797
image_5.jpg,10471188.61845982
image_6.jpg,22765806.67619773
image_7.jpg,3351238681.519147
image_8.jpg,169171379.34354383
image_9.jpg,8468507167.7379675
